,Unnamed: 0,Unnamed: 0.1,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs
864,1570,28514,09 - C0133 - SSI--032--Mysore-Dar,13,rAmajOgi_mandu,khamAs,bhadracala_rAmadas,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--032--Mysore-Darbar-Hall-Oct.81-/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ksj/Semmangudi-Srinivasa-Iyer/SSI--032--Mysore-Darbar-Hall-Oct.81-/13---Ramajogi---Khamas.mp3&amp;url=https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--032--Mysore-Darbar-Hall-Oct.81-/
2969,5411,52771,10 - C0609 - 620-VV_Subramaniam-V,5,azhagA_azhagA,shuddhadhanyAsi,ambujam_krishna,VV Subramanyam,https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/620-VV_Subramaniam-Violin//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-601-800/620-VV_Subramaniam-Violin/05-nannu_brOvu_lalitA_vEgamE-lalitA.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/620-VV_Subramaniam-Violin/
4304,7976,39603,03 - C0943 - 589-OS_thyAgarAjan-v,11,lAli_yugavE_mApAli_daivamA,nIlAmbari,tyAgarAja,OS Thyagarajan,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/589-OS_thyAgarAjan-vocal-Cleveland_OH-2005//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/589-OS_thyAgarAjan-vocal-Cleveland_OH-2005/11-lAli_yugavE_mApAli_daivamA-nIlAmbari.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/589-OS_thyAgarAjan-vocal-Cleveland_OH-2005/
3403,6251,11247,01 - C5712 - 041-Neyveli_R_Santha,2,Arukkut_tAn_teriyum,dEvamanOhari,gOpalakrishna_bharati,Neyveli Santhanagopalan,https://www.sangeethamshare.org/tvg/SEASON_2017/041-Neyveli_R_Santhanagopalan//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2017/041-Neyveli_R_Santhanagopalan/02-Arukkut_tAn_teriyum-dEvamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2017/041-Neyveli_R_Santhanagopalan/
311,553,14932,01 - C4248 - 4151-A_Kanyakumari-V,1,abhISTa_varada_shrI,hamsadhvani,tyAgarAja,A Kanyakumari,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4151-A_Kanyakumari-Violin-Thyagaraja_Krithis//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4151-A_Kanyakumari-Violin-Thyagaraja_Krithis/01-abhISTa_varada_shrI-hamsadhvani.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4151-A_Kanyakumari-Violin-Thyagaraja_Krithis/
1595,2908,55090,14 - C0072 - 073_July272013_Nilak,8,unnait_tavira_vErillai,suraTi,nIla_kanTa_sivan,K Sathyanarayanan,https://www.sangeethamshare.org/sathya/073_July272013_NilakantaSivanCulturalAcademy-MS-AG-GHS//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sathya/073_July272013_NilakantaSivanCulturalAcademy-MS-AG-GHS/08-unnait_tavira_vErillai-suraTi.mp3&amp;url=https://www.sangeethamshare.org/sathya/073_July272013_NilakantaSivanCulturalAcademy-MS-AG-GHS/
882,1589,28460,57 - C0262 - 262-Nanditha_Ravi-Li,11,nArImaNI_nIkainadirA,khamAs,dharmapuri_subbarAya_iyer,Nanditha Ravi,https://www.sangeethamshare.org/sreekanth/262-Nanditha_Ravi-Live_Concert1//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sreekanth/262-Nanditha_Ravi-Live_Concert1/11-nArImaNI_nIkainadirA-khamAs.MP3&amp;url=https://www.sangeethamshare.org/sreekanth/262-Nanditha_Ravi-Live_Concert1/
2038,3720,27775,06 - C0787 - 0890_Sri.V.L.V.Sudha,4,tuLasI_bilva_mallikAdi,kEdAragauLa,tyAgarAja,VLV Sudharsan,https://www.sangeethamshare.org/svasu/UPLOADS-0801-1000/0890_Sri.V.L.V.Sudharsan-Viola/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0801-1000/0890_Sri.V.L.V.Sudharsan-Viola/04-tuLasI_bilva_mallikAdi-kEdAragauLa.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0801-1000/0890_Sri.V.L.V.Sudharsan-Viola/
2089,3826,31381,01 - C0848 - 357.M.D.RAMANATHAN,2,aparAdhamulanniyu,latAngi,patnam_subhramanya_iyer,MD Ramanathan,https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/357.M.D.RAMANATHAN//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0201---0400/357.M.D.RAMANATHAN/02-aparAdhamulanniyu-latAngi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/357.M.D.RAMANATHAN/
502,977,41190,57 - C0271 - 271-PS_Narayanaswamy,3,kAshi_vishAlAkSIm_bhajEham,pUrvikalyANi,m_dIkshitar,PS Narayanaswamy,https://www.sangeethamshare.org/sreekanth/271-PS_Narayanaswamy-Live_Concert1//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sreekanth/271-PS_Narayanaswamy-Live_Concert1/03-kAshi_vishAlAkSIm_bhajEham-pUrvikalyANi.MP3&amp;url=https://www.sangeethamshare.org/sreekanth/271-PS_Narayanaswamy-Live_Concert1/
3093,5635,16473,01 - c1415 - 0962.Adoor_Sudarshan,1,sankara_srIgiri,hamsAnandi,swAtitirunAL,Adoor P Sudarshanam,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0962.Adoor_Sudarshan-DD_Malayalam//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0801---1000/0962.Adoor_Sudarshan-DD_Malayalam/01-sankara_srIgiri-hamsAnandi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0962.Adoor_Sudarshan-DD_Malayalam/
5134,9434,13376,19 - C0084 - 085_SanjaySubramania,2,gAnamUrtE_shrI_krSNa,gAnamUrti,tyAgarAja,Sanjay Subrahmanyan,https://www.sangeethamshare.org/sv/085_SanjaySubramaniam_BGS_Aug07/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sv/085_SanjaySubramaniam_BGS_Aug07/02_ganamoorthe_-_ganamoorthi.mp3&amp;url=https://www.sangeethamshare.org/sv/085_SanjaySubramaniam_BGS_Aug07/
3822,6978,35017,06 - c0180 - 0223-Lalitha_Raghava,2,bhuvanEshwariyA,mOhanakalyANi,muthaiah_bAgavatar,Lalitha Raghavan,https://www.sangeethamshare.org/svasu/UPLOADS-0201-0400/0223-Lalitha_Raghavan/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/svasu/UPLOADS-0201-0400/0223-Lalitha_Raghavan/02-bhuvanEshwariyA-mOhanakalyANi.mp3&amp;url=https://www.sangeethamshare.org/svasu/UPLOADS-0201-0400/0223-Lalitha_Raghavan/
1996,3638,60329,01 - C1962 - 1617-Suguna_Varadach,2,tyAgarAjam_bhajarE_rE,yadukulakAmbhOji,m_dIkshitar,Suguna Varadachari,https://www.sangeethamshare.org/tvg/UPLOADS-1601---1800/1617-Suguna_Varadachari-Thyagaraja_Vibarthi_Krithis//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1601---1800/1617-Suguna_Varadachari-Thyagaraja_Vibarthi_Krithis/02-tyAgarAjam_bhajarE_rE-yadukulakAmbhOji.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1601---1800/1617-Suguna_Varadachari-Thyagaraja_Vibarthi_Krithis/
5180,9462,60408,03 - C0525 - 284-mahArAjapuram_V_,10,hari_dAsalu_veDale_muccaTa,yamunAkalyANi,tyAgarAja,Maharajapuram Santhanam,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/284-mahArAjapuram_V_santhAnam-ayODhya_maTapam-1986//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/284-mahArAjapuram_V_santhAnam-ayODhya_maTapam-1986/10-hari_dhAsulu_vedalE-yamunakalyANi-Adhi-thyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/284-mahArAjapuram_V_santhAnam-ayODhya_maTapam-1986/
170,296,49710,01 - C0436 - 1172-T.N.Seshagopala,1,sarOja_daLa_nEtri_himagiri,shankarAbharaNam,syAmA_sAstri,TN Seshagopalan,https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1172-T.N.Seshagopalan_7-Navarathnamalika-4-Podhigai_TV/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1001---1200/1172-T.N.Seshagopalan_7-Navarathnamalika-4-Podhigai_TV/01-sarOja_daLa_nEtri_himagiri-shankarAbharaNam.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1172-T.N.Seshagopalan_7-Navarathnamalika-4-Podhigai_TV/
2559,4765,45103,40 - C0001 - 07-ALB-LGJ-PMI-1964,6,shAntamu_lEka_saukhyamu_lEdu,sAma,tyAgarAja,Alathur Brothers,https://www.sangeethamshare.org/sriram_ganapathy/07-ALB-LGJ-PMI-1964/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/sriram_ganapathy/07-ALB-LGJ-PMI-1964/06-shAntamu_lEka_saukhyamu_lEdu-sAma.mp3&amp;url=https://www.sangeethamshare.org/sriram_ganapathy/07-ALB-LGJ-PMI-1964/
1965,3586,60062,01 - C3638 - 006-Neyveli_R_Santha,2,heccarikagA_rArA,yadukulakAmbhOji,tyAgarAja,Neyveli Santhanagopalan,https://www.sangeethamshare.org/tvg/SEASON_2014/006-Neyveli_R_Santhanagopalan//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2014/006-Neyveli_R_Santhanagopalan/02-heccarikagA_rArA-yadukulakAmbhOji.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2014/006-Neyveli_R_Santhanagopalan/
1783,3219,12019,29 - C0011 - MMI-TNK-VR-MA66,7,mIna_lOcana_brOva_yOcana,dhanyAsi,syAmA_sAstri,Madurai Mani Iyer,https://www.sangeethamshare.org/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/07-mIna_lOcana_brOva_yOcana-dhanyAsi.mp3&amp;url=https://www.sangeethamshare.org/ramanujam/Madurai-Mani-Iyer/MMI-TNK-VR-MA66/
6416,11746,46165,01 - c0604 - 097.Musiri_Subramani,1,enta_veDukondu_rAghavA,sarasvatimanOhari,tyAgarAja,Musiri Subramanya Iyer,https://www.sangeethamshare.org/tvg/UPLOADS-0001---0200/097.Musiri_Subramania_Iyer-Isaippettagam//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0001---0200/097.Musiri_Subramania_Iyer-Isaippettagam/01-enta_veDukondu_rAghavA-sarasvatimanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0001---0200/097.Musiri_Subramania_Iyer-Isaippettagam/
6266,11449,13202,07 - C0016 - 03_D.Pasupathi,1,shrI_jAlandharam,gambhIranATai,jayacAmarAja_wodayAr,D Pasupathy,https://www.sangeethamshare.org/nagarajan/D.Pasupathi/03_D.Pasupathi//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/nagarajan/D.Pasupathi/03_D.Pasupathi/01-shrI_jAlandharam-gambhIranATai.mp3&amp;url=https://www.sangeethamshare.org/nagarajan/D.Pasupathi/03_D.Pasupathi/
3960,7260,18468,01 - C6563 - 6372-RS_Jayalakshmi-,4,rAmA_ninnE_namminAnu,husEni,tyAgarAja,RS Jayalakshmi,https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6372-RS_Jayalakshmi-Veena//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6201---6400/6372-RS_Jayalakshmi-Veena/04-rAmA_ninnE_namminAnu-husEni.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6372-RS_Jayalakshmi-Veena/
2672,4881,53070,01 - C3838 - 3773-GN_Balasubraman,4,darini_telusukoNTi_tripurasundarini,shuddhasAvEri,tyAgarAja,GN Balasubramaniam,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3773-GN_Balasubramaniam-AIR_NP-Thiruvaiyyaru//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3601---3800/3773-GN_Balasubramaniam-AIR_NP-Thiruvaiyyaru/04-darini_telusukoNTi_tripurasundarini-shuddhasAvEri.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3773-GN_Balasubramaniam-AIR_NP-Thiruvaiyyaru/
3073,5638,16470,15 - C0104 - 100-Chembai-MSG-TVG-,7,sAmagAna_vinOdini,hamsAnandi,lalitadAsar,Chembai Vaidhyanatha Bagavathar,https://www.sangeethamshare.org/muralidaran/Uploads-001-100/100-Chembai-MSG-TVG-Live_Concert//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/muralidaran/Uploads-001-100/100-Chembai-MSG-TVG-Live_Concert/07-sAmagAna_vinOdini-hamsAnandi.mp3&amp;url=https://www.sangeethamshare.org/muralidaran/Uploads-001-100/100-Chembai-MSG-TVG-Live_Concert/
2115,3865,236,03 - C0808 - 064-Mysore_nAgarAj-D,6,nagumOmu_ganalEni,AbhEri,tyAgarAja,"Mysore M Nagaraj,M Manjunath",https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/064-Mysore_nAgarAj-Dr_Mysore_ManjunAth-Violin-Augusta-2008//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/064-Mysore_nAgarAj-Dr_Mysore_ManjunAth-Violin-Augusta-2008/06-nagumOmu_ganalEni-AbhEri.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/064-Mysore_nAgarAj-Dr_Mysore_ManjunAth-Violin-Augusta-2008/
5759,10620,40061,01 - C6077 - 5923-Parassala_Ponna,6,shrI_shukra_bhagavantam,paras,m_dIkshitar,Parassala Ponnammal,https://www.sangeethamshare.org/tvg/UPLOADS-5801---6000/5923-Parassala_Ponnammal-Dikshitar_Navagraha_Krithis//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-5801---6000/5923-Parassala_Ponnammal-Dikshitar_Navagraha_Krithis/06-shrI_shukra_bhagavantam-paras.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-5801---6000/5923-Parassala_Ponnammal-Dikshitar_Navagraha_Krithis/
1363,2540,16916,01 - C2987 - 002-Lalgudi_Srimathi,6,entarAni_tanakenta_pOni,harikAmbhOji,tyAgarAja,"Lalgudi Srimathi,Anuradha Sridhar",https://www.sangeethamshare.org/tvg/SEASON_2012/002-Lalgudi_Srimathi_Anuradha-Violin_Duet_08-Dec_2012//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2012/002-Lalgudi_Srimathi_Anuradha-Violin_Duet_08-Dec_2012/06-entarAni_tanakenta_pOni-harikAmbhOji-tyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2012/002-Lalgudi_Srimathi_Anuradha-Violin_Duet_08-Dec_2012/
1928,3553,11034,01 - C4774 - 4687-Hyderabad_Broth,2,rAMa_rAMa_pAhi,dEvagAndhAri,swAtitirunAL,Hyderabad Brothers,https://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4687-Hyderabad_Brothers-Swatitirunal-Ragam_24x7//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4601---4800/4687-Hyderabad_Brothers-Swatitirunal-Ragam_24x7/02-rAMa_rAMa_pAhi-dEvagAndhAri-swAtitirunAL.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4687-Hyderabad_Brothers-Swatitirunal-Ragam_24x7/
6368,11709,10206,02 - C0041 - 029_M.S.Gopalakrishn,3,nAda_tanumanisham_shankaram,cittaranjani,tyAgarAja,MS Gopalakrishnan,https://www.sangeethamshare.org/kasturi/UPLOADS-0001-0200/029_M.S.Gopalakrishnan_Narmada_Suresh//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/kasturi/UPLOADS-0001-0200/029_M.S.Gopalakrishnan_Narmada_Suresh/03-NadaTanumanisham-Chittaranjani-Aadi-Tyagaraja.mp3&amp;url=https://www.sangeethamshare.org/kasturi/UPLOADS-0001-0200/029_M.S.Gopalakrishnan_Narmada_Suresh/
641,1121,50129,01 - C0882 - 391.Radha_Jayalakshm,4,gurupara_guhanE,shaNmukhapriyA,periyasAmy_tUran,"Radha,Jayalakshmi",https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/391.Radha_Jayalakshmi//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0201---0400/391.Radha_Jayalakshmi/04-gurupara_guhanE-shaNmukhapriyA.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/391.Radha_Jayalakshmi/
3335,6103,39200,04 - C0011 - 10_Gayatri--Jamshedp,11,ninnu_vinA_nAmadi_endu,navarasakannaDa,tyAgarAja,E Gayathri,https://www.sangeethamshare.org/ramach/Instrumental/10_Gayatri--Jamshedpur-1981//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramach/Instrumental/10_Gayatri--Jamshedpur-1981/11-ninnu_vinA_nAmadi_endu-navarasakannaDa.mp3&amp;url=https://www.sangeethamshare.org/ramach/Instrumental/10_Gayatri--Jamshedpur-1981/
1277,2359,2812,01 - c2553 - 2559-Voleti_Venkates,1,nAda_sudhA_rasambilanu,Arabhi,tyAgarAja,Voleti Venkateswarulu,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2559-Voleti_Venkateswarulu//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2401---2600/2559-Voleti_Venkateswarulu/01-nAda_sudhA_rasambilanu-Arabhi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2559-Voleti_Venkateswarulu/
